COGIDS	CONCEPT	GLOSS	PMX	TONE_GROUP	PMX_Josserand1983	JosserandID	PMX_Durr1987	PMXTone_Durr1987	DurrID	PMX_SwantonMendoza2021	PMXTone_SwantonMendoza2021	SwantonMendoza_ID	PMX_Swanton2021	PMXTone_Swanton2021	SwantonID	COMMENT
168	DEW	rocío	katʃi													not sure about reconstruction
172	DISEASE	enfermedad	kʷeᴸʔjiᴸ	B1	kʷeʔji	161							kʷejɨ	LL	58	we have no reflexes in our data that would support a final ɨ
174	DOG	perro	iᴴnaᴸ	C1				HL	44	(tɨ̀-)inã	(L-)HL	85	(tɨ̀-)inã	(L-)HL	107	
177	DREAM	sueño	tʃaᴸniᴴ	C5						(B)-tʃani	L2-HL	79				little data
183	GARBAGE	basura	jaka													few varieties; probably its own tone group but little data
184	DUST	polvo	juti													very little data, not enough for tone groups
192	HAWK	gavilán	tasũʔ	B2	tasũʔ	103							tasuʔ	LLʔ	98	the majority of reflexes have a nasal vowel; don’t know tone group, doesn’t fit with anything else
193	HAWK	gavilán	siʔjã													not so much data, but solid segmental correspondences
194	EAR	oreja	soᴸʔoᴴ	D1	loʔo	129	loʔo	LH	56							quite a few exceptions, maybe another tone subset
195	EAR	oreja	tutũ													
199	EAR OF CORN (FRESH)	elote	ⁿdɨᴴsiᴴ	A2									nɨsɨʔ	HHʔ	76	
204	EGG	huevo, blanquillo	ⁿdɨᴸwɨᴸʔ	B2	ⁿdɨwɨʔ	37				nɨwɨʔ	LLʔ	32	nɨwɨʔ	LLʔ	77	
207	EIGHT	ocho	oᴸneᴸ	B1	one	89										
210	FACE	cara	nuᴸuᴸʔ	B2			nuuʔ	LLʔ	72							
212	FAR	lejos	tʃiᴴkaᴸ	C6												could also be G2
216	FAT (FROM ANIMALS)	grasa, manteca	seᴸʔẽᴴ	C5	seʔẽ	13				(B)-seʔẽ	L2-HL	78				not sure if this should be considered the same set as 418
220	FATHER VOCATIVE	papá!	tata													this is probably a loan?; don’t know tone group also because of vocative
221	FATHER	padre	juᴴwaᴴʔ	A2												very few entries; but quite coherent
227	FEATHER	pluma	tOᴸwĩᴴ	C5	towĩ	5				B-towĩ	L-HL	73	B-towĩ	L-HL	113	due to lack of other forms with this environment, it is not currently possible to tell whether the first vowel is o or u
234	FIFTEEN	quinze	tʃeᴸʔũᴸ	B1	xeʔũ	121							utʃi-oʔõ	LL-LL	135	Swanton’s reconstruction is probably the pre-proto-Mixtec form, but it cannot be the proto-Mixtec form
237	FINGERNAIL	uña	tɨᴸjɨ̃ᴸʔ	B6				M	91	ʔ-tijũʔ	ʔ-LLʔ	69	tijĩʔ	ʔ-LLʔ	107	the reflexes do not fit with other *ijũ forms
240	FIRE	lumbre, fuego	juᴴʔũᴸ	C3	juʔũ	105							juʔũ	HL	27	
244	FIVE	cinco	oᴸʔõᴸ	B1	oʔõ	28	oʔõ	LL	90	oʔõ	LL	39				
246	FLOWER	flor	iᴴtaᴸ	C1				HL	42	ita	HL	18	ita	HL	8	
258	FOOT	pie	tʃeᴸʔeᴸ	B2	xeʔe	119	xeʔe	LL	84							a few exceptions in the tones, but could be because of glottal stop
260	FOUR	cuatro	koᴸwĩʔ	B2 (NUM)	kɨwɨ̃ʔ	4		LLʔ	62				kowĩʔ	LLʔ	53	
263	FROG	rana	saᴴʔwaᴸ	C3	laʔwa	148	laʔwa	HL	36							
272	FURROW	surco	juᴴkũᴸ	C3	jukũ	180										
273	FURROW	surco	tiᴸtiᴴ	D1												
279	GARBAGE	basura	wiᴴʔĩʔᴴ	A6	wiʔiʔ	116										
282	GARBAGE	basura	tʃeᴸʔjeᴸ	B1												
286	GOOD	bueno/a	waᴸʔaᴴ	D1	waʔa	112	waʔa	LH	60							
291	GOURD BOWL	jícara	jeᴴtʃĩʔ	A2	jexĩʔ	43				jetʃĩʔ	HHʔ	5	jetʃĩʔ	HHʔ	16	
294	GRASS	zacate, pasto	iᴴteᴸ	C1						ite	HL	19				
305	GREEN	verde	kʷiᴸiᴸʔ	B6				M	100	ʔ-kʷiiʔ	ʔ-LLʔ	68	ʔ-kʷiiʔ	ʔ-LLʔ	60	
308	GREEN BEAN	ejote	ⁿdiᴸtiᴴ	C5	ⁿditi	91										
310	GRIDDLE	comal	tʃiᴸjoᴸʔ	B2	xijoʔ	19	xijoʔ	LLʔ	70	tʃijoʔ	LLʔ	34				
311	HAIR	pelo, cabello	iᴴsiᴴʔ	A2						isiʔ	HHʔ	2	isiʔ	HHʔ	6	
314	HALF	mitad	saᴴwaᴴ	A1	sawa	92										
317	HALF	mitad	jaʔjũ													
320	HAND	mano	ⁿdaᴴʔaᴴʔ	A2			ⁿdaʔaʔ	HHʔ	5							
320	CLF.GRASS	clasificador pasto	ⁿdaᴴ													classifier that appears in ‘grass’; most probably high tone
326	HEAVY	pesado	weᴸjiᴴ	D1	weji	187				wejɨ	LH	50	wejɨ	LH	137	the reflexes do not with a final ɨ
332	HERBACEOUS PLANT	hierba	juᴸkuᴸ	B1	juku	179	juku	LL	82	juku	LL	36				
333	HERBACEOUS PLANT	quelite	juwa	C1						jowe	HL	24	jowa	HL	24	few forms in this set, all from languages that merge o with u in this context; no clear evidence fo positing o
334	HERBACEOUS PLANT	quelite	kuʔwi													
341	HOLE	agujero, hoyo	jaᴴwiᴸ	C3	jawi	135	jawi	HL	41							there are quite a few exceptions
344	HONEY	miel	ᴸ+ⁿduᴴsiᴸ	C5	ⁿdusi	96										don’t know tone group, could one of the D and E sets
350	HORN (ANATOMY)	cuerno	ⁿdɨᴴkɨᴴʔ	A2	ⁿdɨkɨʔ	68							nɨkɨʔ	HHʔ	74	few instances of nasal vowel?
357	HOT	caliente	iᴴʔniᴴʔ	A8	iʔniʔ	84							iʔnĩʔ	HHʔ	5	
363	HOUSE	casa	weᴴʔjiᴴ	A1	weʔji	164		HH	28		HH		weʔje	HH	138	while a final e remains a possibility, the reflexes fit much better with forms with *eji than *eje
367	INTESTINES	tripas	tʃɨᴴtɨᴸ	C1	xɨtɨ	122										
368	METAL	fierro, metal	kaᴸaᴴ	C5			kaa	LH	50	B-kaa	L-HL	72				
369	IRON	fierro, metal	tOᴸniᴴ	C1	tuni	183										first vowel is difficult to reconstruct based on our data
374	JEALOUS	celoso	kʷiᴴjõᴸ	C4						ʔ-kʷijõ	ʔ-HL	63				
377	LAZY	flojo/a, perezoso/a	suᴴtʃẽᴴʔ	A5	suxẽʔ	17				(ʔ1)-sutʃẽʔ	ʔ1-HH	56				
379	LAZY	flojo/a, perezoso/a	kuᴴsiᴴ	A5												little data, tight segmental set; could be another G set
385	CLF.MAN	clasificador hombre	te													most probably from 414
387	POST	horcón	sɨʔɨ̃	B1	sɨʔɨ̃	126										don’t know tone set
388	LIGHTNING	rayo	taᴴtʃaᴴ	A1						tatʃa	HH	14	tatʃa	HH	99	
399	LIME (MATERIAL)	cal	kaᴴkaᴸ	C2				HL	33				kaka	HL	38	
402	WATER	agua	ⁿduᴴteᴴʔ	A2	ⁿduteʔ	22		HHʔ								
405	LONG (PLURAL)	largo/a.PL	naᴸniᴸʔ	B5												
406	LONG (SINGULAR)	largo/a.SG	kaᴸniᴸʔ	B5			kaniʔ	M	97							
407	LOOSE	flojo/a (de cosa)	taᴴjaᴴ	A1	taja	186										
408	MAN	hombre	jɨɨ													
409	MAGUEY	maguey	jaᴴwiᴴʔ	A2	jawiʔ	2							jawiʔ	HHʔ	13	
411	MAMEY OR ZAPOTE	mamey	ⁿdikaᴴʔ	A2	ⁿdikaʔ	165							nikaʔ	HHʔ	70	same as banana?
414	MAN	hombre	teᴸjeᴴ	D1	teje	52		LH	47				teje	LH	103	
415	CLF.M	clasificador masculino	ra													
416	MAT	petate	juᴴwiᴴʔ	A2	juwiʔ	3		HHʔ	9	juwiʔ	HHʔ	8	juwiʔ	HHʔ	33	
418	MEAT	carne	ᴸ+koᴴjõᴸ	C5	kojõ	30	kojõ	LH	51	(B)-kojõ	L2-HL	76				
424	MEDICINE	medicina	taᴸtãᴸʔ	B2			tatãʔ	LLʔ	61							
428	MONEY	dinero	siᴸ+juᴴʔũᴴʔ	A6			si+juʔũʔ	M	106							
430	MOON	luna	joᴸoᴸʔ	B2			jooʔ	LLʔ	75	jooʔ	LLʔ	27				
432	MOTHER VOCATIVE	mamá!	nana													the vocative def is part of another tone group, too little data to figure those out
433	MOTHER	madre	sɨʔɨ										sɨʔɨ	HL	14	small set; could be related to/part of one of the E tone groups, but too little data
437	MOUNTAIN OR HILL	monte, cerro	juᴴkuᴴʔ	A2	jukuʔ	71		HHʔ	8				jukuʔ	HHʔ	29	
444	MUROID (MOUSE OR RAT)	ratón	tɨᴸ+jɨ̃ᴴ(ɨ̃ᴴ)ʔ	A6	tɨjɨ̃ʔ	142	tɨjɨ̃ʔ	M	92							
447	MOUTH	boca	juᴴʔuᴴʔ	A2	juʔuʔ	176	juʔuʔ	HHʔ	9	juʔuʔ	HHʔ	9				
449	MUD	lodo	ⁿdeᴸʔjuᴸ	B1	ⁿdeʔju	24							neʔju	LL	68	it looks a bit like a mix of B1, B2, and A2 doesn’t really fit either
455	MUSHROOM	hongo	tʃiᴸʔiᴸʔ	B2												glottal stop has to be there because of tone reflexes
457	MUSIC	canción, música	jaᴴaᴸ	C1						jaa	HL	20				
459	NEAR	cerca	jeᴴtĩᴴ	A1						jetĩ	HH	13	jetĩ	HH	15	
465	NECK	cuello	suᴸkũᴸʔ	B2	sukũʔ	66							sukũʔ	LLʔ	97	some exceptions to tones
469	NET	red, rede	joᴴnoᴴʔ	A2	jonoʔ	42										
470	SALTY	salado	ese													
476	NEW	nuevo/a	tʃeᴴeᴴʔ	A8			xee	M	107							
481	NIGHT TIME	de noche	nijũ		nijũ	83										
485	CLF.OWNER	clasificador dueño	tʃi													first morpheme that appears in owner
490	NINE	nueve	ɨᴸɨ̃ᴸ	B1			ɨɨ̃	LL	88							
492	NIXTAMAL	nixtamal	tʃaᴴʔaᴸ	C4						ʔ-tʃaʔa	ʔ-HL	66				
496	NOSE	naríz	siᴸtĩᴸʔ	B2	sitĩʔ	8										
501	NOW OR TODAY	ahora, hoy	wiᴴtĩᴴ	A1	witĩ	134		HH	27	witĩ	HH	17	witĩ	HH	144	
506	NOW OR TODAY	ahora, hoy	jatĩ													
507	ONE	uno	ɨᴴɨ̃ᴴ	A1				HH	30				ɨɨ̃	HH	10	
520	PAPER	papel	tuᴴtuᴸ	C2				HL	31	tutu	HL	25	tutu	HL	116	
523	PATH	camino	iᴴtiᴴʔ	A2				HHʔ	15	itiʔ	HHʔ	3	itiʔ	HHʔ	9	
526	PIG	cerdo, marrano	kɨᴴnɨᴸ	C3												
529	PIMPLE	grano (de piel)	ⁿdɨᴸʔjɨᴴ	D1	ⁿdɨʔjɨ	144				nɨʔjɨ	LH	47				
535	PLAIN	llanura, llano	joᴴsoᴴʔ	A2	josoʔ	156							josoʔ	HHʔ	22	
537	PLAIN	llanura, llano	ⁿduᴴʔweᴸ	C1												
538	PLAIN	llanura, llano	ⁿdaa													
545	PLATE	plato	koᴸʔoᴸ	B2												
548	POOR	pobre	ⁿdaᴴʔwiᴸ	C4	ⁿdaʔwi	137		M	104	ʔ-naʔwi	ʔ-HL	64	ʔ-naʔwi	ʔ-HL	67	
554	POSSUM	tlacuache	tʃaᴸkoᴴ										tʃako	LH	117	don’t know tone group, could be a wanderwort
564	PRICKLY PEAR CACTUS	nopal	wiᴸʔⁿdeᴸʔ	B2	wiʔⁿdeʔ	118										probably another tone set
568	PRIEST	sacerdote	suᴸtuᴸ	B1	sutu	182										quite a few exceptions
570	SQUASH	calabaza	jɨᴴkɨ̃ᴴʔ	A2	jɨkɨ̃ʔ	44							jɨkɨ̃ʔ	HHʔ	20	
574	PUS	pus	ⁿdaᴴkʷaᴴ	A2	lakʷaʔ	76							l-nakʷaʔ	HHʔ	62	
582	RACCOON	mapache	waᴸʔãᴸ	B3												
586	RAIN (PRECIPITATION)	lluvia	saᴸwiᴸʔ	B2	sawiʔ	1							sawiʔ	LLʔ	86	
587	RABBIT	conejo														probably a wanderwort, not reconstructable
591	RAW	crudo	jɨᴴʔɨᴴ	A5												 looks most similar to G2 and I sets but doesn’t really match either
595	RED	rojo	kʷeᴴʔeᴸ	C4	kʷeʔe	31	kʷeʔe	M	102	ʔ-kʷeʔe	ʔ-HL	61				
599	RICH	rico	kʷiᴴkaᴴʔ	A5												
604	RING	anillo	seʔjiʔ	B?									seʔjoʔ	HHʔ	89	we do’nt have data that would point to a back vowel in the final syllable; tones look like one of the B sets, not A
607	RIVER	río	juᴸteᴴ	D1	jute	23	jute	LH	58	jote	LH	44	jote	LH	23	only one language in our sample has an o and all other reflexes fit with initial *ju
615	ROOSTER	gallo	tiᴴleᴴ	A4												uncertain, could be a loan
616	ROOSTER	gallo	liʔi													uncertain, could be a loan
619	ROPE/ROOT	mecate, raíz	joᴴʔoᴴʔ	A2			joʔoʔ	HHʔ	14	joʔoʔ	HHʔ	6				root is the same but different tone set
624	SALT	sal	jɨᴸɨ̃ᴸʔ	B2	jɨɨ̃ʔ	41										there are quite a few exceptions
628	SALTY	salado	oᴸʔweᴸ	B1	oʔwe	47							oʔwe	LL	82	
631	SANDAL	huarache	ⁿdiᴸtʃẽᴸʔ	B2	ⁿdixẽʔ	125		LLʔ	66	nitʃẽʔ	LLʔ	30	nitʃẽʔ	LLʔ	72	
635	TAIL	cola	suᴸʔwẽᴸʔ	B2	luʔwẽʔ	6										
638	SEVEN	siete	uᴸtʃeᴸ	B1	uxe	33										
642	SHEEP	oveja		A1												probably a wanderwort, not reconstructable
651	SISTER (OF WOMAN)	hermana de mujer	kuᴸʔwiᴸ	B1				LL	78				kuʔwi	LL	55	could be another tone group
652	SIX	seis	iᴸjõᴸ	B1	ijõ	106				ijõ	LL	35	ijõ	LL	3	could be another tone group, many exceptions
660	SMOOTH	liso/a	ⁿdɨʔwɨʔ		lɨʔwɨʔ	152										very uncertain, needs further research; does not fit well with B1
662	SLOW	despacio	kʷeᴴjiᴸ	C4	kʷeje	163				ʔ-kʷeje	ʔ-HL	62	ʔ-kʷeje	ʔ-HL	57	the reflexes do not fit with *eje (see MAN)
668	SMALL (PLURAL)	pequeño.PL	waᴴliᴴʔ	A7												
669	SMALL (PLURAL)	pequeño.PL	kʷeᴴtiᴸʔ	C6			kʷetiʔ	M	101							
673	SMALL (SINGULAR)	pequeño.SG	lulu?													difficult to reconstruct the second syllable, but seems to start with *lu; maybe these are all variations of luʔu
674	SMALL (SINGULAR)	pequeño.PL	luᴴʔuᴴ	A1	luʔu	153	luʔu	M	108							
676	SMALL (SINGULAR)	pequeño.SG	tɨʔɨ													difficult to reconstruct the second syllable
682	SMOKE (EXHAUST)	humo	joᴸʔwẽᴸ	B1	juʔwẽ	101				joʔwẽ	LL	38	joʔwẽ	LL	26	not completely conclusive, but o does simplify changes better in a few varieties
686	SMOOTH	liso/a	kani													
689	SNAKE	culebra	koᴸoᴸʔ	B2	kooʔ	69	kooʔ	LLʔ	65							
690	SOAP	jabón	naᴸwãᴸʔ	B2			nawãʔ	LLʔ	71				nawãʔ	LLʔ	65	
698	SQUIRREL	ardilla	kʷeᴴjũᴴʔ	A4?	kʷejũʔ	185				(ni)+(ʔ2)-kʷejõʔ	ʔ2-HH	59				the reflexes in our data can be better explained with ũ
710	STONE OR ROCK	piedra	juᴸuᴸʔ	B2	juuʔ	175	juuʔ	LLʔ	74	juuʔ	LLʔ	28				
717	STOOL	silla	teᴴjuᴸ	C3	teju	168		HL	32				teju	HL	104	potentially other tone group or maybe wanderwort?
734	SUGAR CANE	caña	ⁿdoᴸoᴸʔ	B2	ⁿdooʔ	93	ⁿdooʔ	LLʔ	67							
735	SWEET	dulce	wiᴸsĩᴸ	B1	wisĩ	133		LL	84				wisĩ	LL	143	
738	SWEET POTATO	camote	jaᴴʔwĩᴸ	C1						jaʔwĩ	HL	21				not so many varieties; tone group could be wrong, there are quite a few exceptions
742	SWELLING	hinchazón	kʷijõ	A1												
748	TAIL	cola	ⁿdoᴴʔoᴴ	A2												
751	TASSEL	espiga	joᴴkoᴴʔ	A2	jokoʔ	98										
755	TASTY	sabroso	aᴸsɨ̃ᴸʔ	B2	asɨ̃ʔ	130							asɨ̃ʔ	LLʔ	1	
761	TEN	diez	uᴸtʃiᴸ	B1	uxi	123							utʃi	LL	134	
764	THORN	espina	iᴴjõᴴʔ	A2						ijõʔ	HHʔ	1				
768	THREAD	hilo	joᴸʔweᴸ	B1	juʔwe	34		LL	83	joʔwe	LL	37	joʔwe	LL	25	not completely conclusive, but o does simplify changes better in a few varieties; many exceptions, potentially another set
771	THREE	tres	oᴸniᴸ	B1	oni	26							onĩ	LL	81	
775	TOMATO	jitomate	tɨ+nanaʔ													
781	TONGUE	lengua (cuerpo)	jaᴸaᴸʔ	B6			jaaʔ	M	110	ʔ-jaaʔ	ʔ-LLʔ	67				
785	TOOTH	diente	noᴸʔoᴴ	D1	noʔo	27	noʔo	LH	57							
789	TORTILLA	tortilla	siᴸtaᴸʔ	B2	sitaʔ	15	sitaʔ	LLʔ	68							
794	TOWN OR VILLAGE	pueblo	juᴴũᴸ	C2	juũ	100	juũ	HL	39	juũ	HL	23				
799	TREE	árbol	juᴴtũᴴʔ	A2	jutũʔ	11	jutũʔ	HHʔ	7	jutũʔ	HHʔ	7	jutũʔ	HHʔ	32	
802	TROUSERS	pantalón	tʃeᴴtuᴸ	C1	xetu	181							tʃetuʔ	LLʔ	123	
809	TWENTY	veinte	oᴸkoᴸ	B1												
811	TWO	dos	uᴸwiᴸ	B1	uwi	138	uwi	LL	89	uwi	LL	43				
812	UGLY	feo	kiᴴniᴴ	A1	kini	70										
815	UGLY	feo	ⁿdasɨ													
817	UGLY	feo	ⁿdeʔe													
818	UGLY	feo	kʷiʔja													
824	UNCLE	tío	siᴴtoᴸ	C2				HL	34				sito	HL	92	maybe an extra set because of kinship term?
826	URINE	orina	sese		lele	150										very small set, can’t say which tone group
840	WHEN	cuándo	aᴴwãᴴ	A1	awã	155				awã	HH	11	awã	HH	2	
843	WHITE	blanco	jaᴴaᴴ	A1												
844	WHITE	blanco	kʷitʃĩ	C4?			kʷixĩ	M	99							def one of the modified ones, but doesn’t fit with any other
845	WIDE	ancho	ⁿdɨᴸkaᴸ	B3						(ʔ)-nika	ʔ-LL	71				does not matcher other sets
846	WIDE	ancho	tʃiᴸteᴸ	B3												
853	WING	ala	ⁿdiᴸtʃĩᴸ	B2	ⁿdixĩ	167										
858	WOMAN	mujer	jaᴴʔãᴴʔ	A2				HHʔ	13				jaʔãʔ	HHʔ	14	
863	WORD	palabra	tuᴸʔũᴴ	D1	toʔõ	9	toʔõ	LH	48	toʔõ	LH	49				the reflexes in our data can be better explained with u
870	WORKING OR WORK	trabajo	tiᴴjõᴴ	A1	tijõ	49		HH	16	tijõ	HH	15	tijõ	HH	105	
872	YEAR	año	kʷiᴸjaᴸ	B1	kʷija	74		LL	81				kʷija	LL	61	
876	YELLOW	amarillo	kʷaᴴãᴸ	C4	kʷaã	78		M	103	ʔ-kʷaã	ʔ-HL	60	ʔ-kʷaã	ʔ-HL	56	
878	YESTERDAY	ayer	niᴴ							iku(-nĩ)	(-H)	12				second morpheme that fused with 879
879	YESTERDAY	ayer	iᴴkuᴴ	A1	iku	170	iku	HH	29	iku(-nĩ)	HH	12				
985	NIGHT TIME	de noche	jaa													second part in some entries for ‘night time’
1121	HAWK	gavilán	jaʔa													second element in some forms for ‘hawk’
222 400	LIQUID	líquido	te+kʷii													not sure about vowel in classifier
320 140	GRASS	zacate, pasto	ⁿda+joʔoʔ													
35 698	SQUIRREL	ardilla	ⁿdiᴴ+kʷeᴴjũᴴʔ	H+A4?	kʷejũʔ	185				(ni)+(ʔ2)-kʷejõʔ	ʔ2-HH	59				the reflexes in our data can be better explained with ũ
4 250	FOAM	espuma	tɨ+ijũ		tɨ+ʔijũ	38										
4 39	CHARCOAL	carbón	tɨᴸ+kaji													
475 480	NIGHT	noche	tʃV+kʷaa													
485 512	OWNER	dueño, señor	tʃi+toʔo		xi+toʔo	63							tʃiʔ-toʔo	?-LL	132	
9 100	HEN	pollo, gallina	tɨᴸ+juũʔ				tɨ+juũʔ	M	93							
9 174	DOG	perro	tɨᴸ+iᴴnaᴸ													
9 242	FISH	pescado	tɨᴸ+jakaʔ													
9 29	BEE	abeja	tɨᴸ+juᴸjũᴸʔ													
9 300	GRASSHOPPER	chapulín	tɨ+ika	C5						tɨ-ika	L-HL	86				
9 445	RAT	ratón	tɨᴸ+joto													
9 59	COCKROACH	cucaracha	tɨᴸ+teʔja													
9 635	SCORPION	alacrán	tɨᴸ+suᴸʔwẽᴸʔ													
9 655	SKUNK	zorrillo	tɨ+jɨʔɨ̃													
9 882	ANT	hormiga	tɨᴸ+joᴸkoᴸʔ										tɨ-jokoʔ	L-LLʔ	108	
918 919	DEER	venado	sa+kʷaa													original meaning unknown
